здесь	zʲ dʲ e sʲ
прорицателей	p r ə rʲ ɪ t̪s̪ a tʲ ɪ ʎ ɪ j
пророк	p r ɐ r o k
пророков	p r ɐ r o k ə f
проронила	p r ə r ɐ ɲ i ɫ ə
пророки	p r ɐ r o c ɪ
проронившие	p r ə r ɐ ɲ i f ʂ ɨ j e
проронить	p r ə r ɐ ɲ i tʲ
проронит	p r ɐ r o ɲ ɪ t̪
пророчески	p r ɐ r o tɕ ɪ s̪ c ɪ
пророческий	p r ɐ r o tɕ ɪ s̪ c ɪ j
прорыв	p r ɐ r ɨ f
прорывает	p r ə r ɨ v a j ɪ t̪
прорывами	p r ɐ r ɨ v ə mʲ ɪ
пророчествах	p r ɐ r o tɕ ɪ s̪ t̪ v ə x
прорывать	p r ə r ɨ v a tʲ
просверливали	p r ɐ s̪ vʲ e r ʎ ɪ v ə ʎ ɪ
просветах	p r ɐ s̪ vʲ e t̪ ə x
просветлеет	p r ə s̪ vʲ ɪ t̪ ʎ e j ɪ t̪
просветлели	p r ə s̪ vʲ ɪ t̪ ʎ e ʎ ɪ
просвете	p r ɐ s̪ vʲ e tʲ e
просвете	p r ə s̪ vʲ ɪ tʲ e
просветлело	p r ə s̪ vʲ ɪ t̪ ʎ e ɫ ə
просветлении	p r ə s̪ vʲ ɪ t̪ ʎ e ɲ ɪ ɪ
просветов	p r ɐ s̪ vʲ e t̪ ə f
просвечивало	p r ɐ s̪ vʲ e tɕ ɪ v ə ɫ ə
просвещения	p r ə s̪ vʲ ɪ ɕː e ɲ ɪ j ə
просвирне	p r ə s̪ vʲ ɪ r ɲ e
просеванье	p r o sʲ ɪ v a ɲ j e
проседает	p r o sʲ ɪ d̪ a j ɪ t̪
проседью	p r o sʲ ɪ dʲ j ʊ
проседало	p r o sʲ ɪ d̪ a ɫ ə
проси	p r ɐ sʲ i
проси	p r ə sʲ ɪ
просеет	p r ɐ sʲ e j ɪ t̪
просеет	p r ə sʲ e j ɪ t̪
просеет	p r ə sʲ ɪ j ɪ t̪
просидел	p r ə sʲ ɪ dʲ e ɫ
просидев	p r ə sʲ ɪ dʲ e f
просидела	p r ə sʲ ɪ dʲ e ɫ ə
просидели	p r ə sʲ ɪ dʲ e ʎ ɪ
просидеть	p r ə sʲ ɪ dʲ e tʲ
просиди	p r ə sʲ ɪ dʲ i
просиживала	p r ɐ sʲ i ʐ ɨ v ə ɫ ə
просил	p r ɐ sʲ i ɫ
просидят	p r ə sʲ ɪ dʲ a t̪
просила	p r ɐ sʲ i ɫ ə
просилась	p r ɐ sʲ i ɫ ə sʲ
просили	p r ɐ sʲ i ʎ ɪ
просилось	p r ɐ sʲ i ɫ ə sʲ
просился	p r ɐ sʲ i ɫ sʲ ə
просимой	p r o sʲ ɪ m ə j
просимой	p r ɐ sʲ i m ə j
просит	p r o sʲ ɪ t̪
просит	p r ɐ sʲ i t̪
просит	p r ə sʲ ɪ t̪
просим	p r o sʲ ɪ m
просим	p r ɐ sʲ i m
просим	p r ə sʲ ɪ m
просипел	p r ə sʲ ɪ pʲ e ɫ
просите	p r ɐ sʲ i tʲ e
просители	p r ɐ sʲ i tʲ ɪ ʎ ɪ
просителей	p r ɐ sʲ i tʲ ɪ ʎ e j
просителей	p r ɐ sʲ i tʲ ɪ ʎ ɪ j
просится	p r o sʲ ɪ t̪ s̪ ə
просить	p r ɐ sʲ i tʲ
просительницы	p r ɐ sʲ i tʲ ɪ ʎ ɲ ɪ t̪s̪ ɨ
просияла	p r ə sʲ ɪ j a ɫ ə
просиявшими	p r ə sʲ ɪ j a f ʂ ɨ mʲ ɪ
просияло	p r ə sʲ ɪ j a ɫ ə
проскакать	p r ə s̪ k ɐ k a tʲ
проскакивать	p r ɐ s̪ k a c ɪ v ə tʲ
проскользнула	p r ə s̪ k ɐ ʎ z̪ n̪ u ɫ ə
проскочить	p r ə s̪ k ɐ tɕ i tʲ
проскрежетал	p r ə s̪ c rʲ ɪ ʐ ɨ t̪ a ɫ
прославившийся	p r ɐ s̪ ɫ a vʲ ɪ f ʂ ɨ j sʲ ə
проскучает	p r ɐ s̪ k u tɕ ɪ j ɪ t̪
проскучает	p r ə s̪ k ʊ tɕ æ j ɪ t̪
прославленный	p r ɐ s̪ ɫ a v ʎ ɪ n̪ː ɨ j
прославляйте	p r ə s̪ ɫ ɐ v ʎ æ j tʲ e
проследил	p r ə sʲ ʎ ɪ dʲ i ɫ
проследите	p r ə sʲ ʎ ɪ dʲ i tʲ e
проследила	p r ə sʲ ʎ ɪ dʲ i ɫ ə
проследить	p r ə sʲ ʎ ɪ dʲ i tʲ
прослезится	p r ə sʲ ʎ ɪ zʲ i t̪ s̪ː ə
прослужил	p r ə s̪ ɫ ʊ ʐ ɨ ɫ
прослужит	p r ɐ s̪ ɫ u ʐ ɨ t̪
прослужит	p r ə s̪ ɫ ʊ ʐ ɨ t̪
прослушал	p r ɐ s̪ ɫ u ʂ ə ɫ
прослышал	p r ɐ s̪ ɫ ɨ ʂ ə ɫ
просматривается	p r ɐ s̪ m a t̪ rʲ ɪ v ə j ɪ t̪ s̪ ə
просмотрел	p r ə s̪ m ɐ t̪ rʲ e ɫ
просмоленный	p r ɐ s̪ m o ʎ ɪ n̪ː ɨ j
просмоленный	p r ə s̪ m o ʎ ɪ n̪ː ɨ j
проснется	p r ɐ sʲ ɲ ɪ t̪ s̪ ə
проснетесь	p r ɐ sʲ ɲ ɪ tʲ ɪ sʲ
проснитесь	p r ɐ sʲ ɲ i tʲ ɪ sʲ
проснувшееся	p r ɐ s̪ n̪ u f ʂ ɨ j ɪ sʲ ə
проснувшегося	p r ɐ s̪ n̪ u f ʂ ɨ v ə sʲ ə
проснувшийся	p r ɐ s̪ n̪ u f ʂ ɨ j sʲ ə
проснулась	p r ɐ s̪ n̪ u ɫ ə sʲ
проснувшись	p r ɐ s̪ n̪ u f ʂ ɨ sʲ
проснулись	p r ɐ s̪ n̪ u ʎ ɪ sʲ
проснусь	p r ɐ s̪ n̪ u sʲ
проснулся	p r ɐ s̪ n̪ u ɫ sʲ ə
проснуться	p r ɐ s̪ n̪ u t̪ s̪ː ə
проснётся	p r ɐ sʲ ɲ ɵ t̪ s̪ː ə
проснёмся	p r ɐ sʲ ɲ ɵ m sʲ ə
просовывает	p r ɐ s̪ o v ɨ v ə j ɪ t̪
просоленный	p r ɐ s̪ o ʎ ɪ n̪ː ɨ j
просовывал	p r ɐ s̪ o v ɨ v ə ɫ
проспал	p r ɐ s̪ p a ɫ
проспекту	p r ɐ s̪ pʲ e k t̪ ʊ
проспект	p r ɐ s̪ pʲ e k t̪
проспали	p r ɐ s̪ p a ʎ ɪ
проста	p r ɐ s̪ t̪ a
проставлены	p r ə s̪ t̪ ɐ v ʎ e n̪ ɨ
прост	p r o s̪ t̪
прост	p r ə s̪ t̪
простакам	p r ə s̪ t̪ ɐ k a m
простаковых	p r ə s̪ t̪ ɐ k o v ɨ x
простая	p r ɐ s̪ t̪ a j ə
простегивала	p r ə sʲ tʲ ɪ ɟ ɪ v ə ɫ ə
простенке	p r ɐ sʲ tʲ e n̪ c e
простер	p r o sʲ tʲ ɪ r
простер	p r ə sʲ tʲ ɪ r
прости	p r ɐ sʲ tʲ i
прости	p r ə sʲ tʲ ɪ
простерлись	p r ɐ sʲ tʲ e r ʎ ɪ sʲ
простерлись	p r ə sʲ tʲ ɪ r ʎ i sʲ
простерлись	p r ə sʲ tʲ ɪ r ʎ ɪ sʲ
простив	p r ɐ sʲ tʲ i f
простил	p r ɐ sʲ tʲ i ɫ
простила	p r ɐ sʲ tʲ i ɫ ə
простилась	p r ɐ sʲ tʲ i ɫ ə sʲ
простили	p r ɐ sʲ tʲ i ʎ ɪ
простились	p r ɐ sʲ tʲ i ʎ ɪ sʲ
простим	p r ɐ sʲ tʲ i m
простим	p r ə sʲ tʲ ɪ m
простился	p r ɐ sʲ tʲ i ɫ sʲ ə
простиравшемся	p r ə sʲ tʲ ɪ r a f ʂ ɨ m sʲ ə
простирать	p r ə sʲ tʲ ɪ r a tʲ
простиралось	p r ə sʲ tʲ ɪ r a ɫ ə sʲ
простит	p r ɐ sʲ tʲ i t̪
простит	p r ə sʲ tʲ ɪ t̪
простите	p r ɐ sʲ tʲ i tʲ e
проститутки	p r ə sʲ tʲ ɪ t̪ u t̪ c ɪ
простить	p r ɐ sʲ tʲ i tʲ
проституткой	p r ə sʲ tʲ ɪ t̪ u t̪ k ə j
простишь	p r ɐ sʲ tʲ i ʂ
просто	p r o s̪ t̪ ə
просто	p r ə s̪ t̪ ə
простонапросто	p r ə s̪ t̪ ɐ n̪ a p r ə s̪ t̪ ə
проститься	p r ɐ sʲ tʲ i t̪ s̪ː ə
простого	p r ə s̪ t̪ ə v ə
простоволосая	p r ə s̪ t̪ ə v ɐ ɫ o s̪ a j ə
простодушие	p r ə s̪ t̪ ɐ d̪ u ʂ ɨ j e
простодушную	p r ə s̪ t̪ ɐ d̪ u ʂ n̪ ʊ j ʊ
простодушно	p r ə s̪ t̪ ɐ d̪ u ʂ n̪ ə
простодушное	p r ə s̪ t̪ ɐ d̪ u ʂ n̪ ə j ə
простой	p r ɐ s̪ t̪ o j
простое	p r ɐ s̪ t̪ o j e
простое	p r ɐ s̪ t̪ o j ə
простодушными	p r ə s̪ t̪ ɐ d̪ u ʂ n̪ ɨ mʲ ɪ
простонал	p r ə s̪ t̪ ɐ n̪ a ɫ
простонало	p r ə s̪ t̪ ɐ n̪ a ɫ ə
простонала	p r ə s̪ t̪ ɐ n̪ a ɫ ə
простонародной	p r ə s̪ t̪ ɐ n̪ ɐ r o d̪ n̪ ə j
простонародье	p r ə s̪ t̪ ɐ n̪ a r ə dʲ j e
простонародье	p r ə s̪ t̪ ɐ n̪ ɐ r o dʲ j e
простор	p r ɐ s̪ t̪ o r
простора	p r ɐ s̪ t̪ o r ə
просторе	p r ə s̪ t̪ ɐ rʲ e
просторная	p r ɐ s̪ t̪ o r n̪ ə j ə
просторной	p r ɐ s̪ t̪ o r n̪ ə j
просторно	p r ɐ s̪ t̪ o r n̪ ə
просторный	p r ɐ s̪ t̪ o r n̪ ɨ j
просторную	p r ɐ s̪ t̪ o r n̪ ʊ j ʊ
простоте	p r ə s̪ t̪ ɐ tʲ e
простота	p r ə s̪ t̪ ɐ t̪ a
просторных	p r ɐ s̪ t̪ o r n̪ ɨ x
простоту	p r ə s̪ t̪ ɐ t̪ u
простотою	p r ə s̪ t̪ ɐ t̪ o j ʊ
простотой	p r ə s̪ t̪ ɐ t̪ o j
простоты	p r ə s̪ t̪ ɐ t̪ ɨ
простояли	p r ə s̪ t̪ ɐ j æ ʎ ɪ
простоял	p r ə s̪ t̪ ɐ j a ɫ
пространства	p r ɐ s̪ t̪ r a n̪ s̪ t̪ v ə
пространным	p r ɐ s̪ t̪ r a n̪ː ɨ m
пространством	p r ɐ s̪ t̪ r a n̪ s̪ t̪ v ə m
пространство	p r ɐ s̪ t̪ r a n̪ s̪ t̪ v ə
пространствовал	p r ɐ s̪ t̪ r a n̪ s̪ t̪ v ə v ə ɫ
прострелил	p r ə s̪ t̪ rʲ ɪ ʎ i ɫ
простудился	p r ə s̪ t̪ ʊ dʲ i ɫ sʲ ə
простудишь	p r ɐ s̪ t̪ u dʲ ɪ ʂ
простудишь	p r ə s̪ t̪ ʊ dʲ i ʂ
простудилась	p r ə s̪ t̪ ʊ dʲ i ɫ ə sʲ
простудиться	p r ɐ s̪ t̪ u dʲ ɪ t̪ s̪ ə
простудиться	p r ə s̪ t̪ ʊ dʲ i t̪ s̪ː ə
простуды	p r ɐ s̪ t̪ u d̪ ɨ
простудишься	p r ɐ s̪ t̪ u dʲ ɪ ʂ sʲ ə
простудишься	p r ə s̪ t̪ ʊ dʲ i ʂ sʲ ə
простужусь	p r ə s̪ t̪ ʊ ʐ u sʲ
проступке	p r ɐ s̪ t̪ u p c e
проступка	p r ɐ s̪ t̪ u p k ə
проступали	p r ə s̪ t̪ ʊ p a ʎ ɪ
простучат	p r ə s̪ t̪ ʊ tɕ a t̪
простую	p r ɐ s̪ t̪ u j ʊ
просты	p r o s̪ t̪ ɨ
просты	p r ɐ s̪ t̪ ɨ
просты	p r ə s̪ t̪ ɨ
проступок	p r ɐ s̪ t̪ u p ə k
простые	p r ɐ s̪ t̪ ɨ j e
простым	p r ɐ s̪ t̪ ɨ m
простыла	p r ɐ s̪ t̪ ɨ ɫ ə
простыми	p r ɐ s̪ t̪ ɨ mʲ ɪ
простынь	p r o s̪ t̪ ɨ ɲ
простынь	p r ɐ s̪ t̪ ɨ ɲ
простынь	p r ə s̪ t̪ ɨ ɲ
простыни	p r o s̪ t̪ ɨ ɲ ɪ
простыни	p r ɐ s̪ t̪ ɨ ɲ ɪ
простыни	p r ə s̪ t̪ ɨ ɲ ɪ
простыню	p r o s̪ t̪ ɨ ɲ ʊ
простыню	p r ɐ s̪ t̪ ɨ ɲ ʊ
простыню	p r ə s̪ t̪ ɨ ɲ ʊ
простых	p r o s̪ t̪ ɨ x
простых	p r ɐ s̪ t̪ ɨ x
простынёй	p r o s̪ t̪ ɨ ɲ ɵ j
простынёй	p r ɐ s̪ t̪ ɨ ɲ ɵ j
простынёй	p r ə s̪ t̪ ɨ ɲ ɵ j
простят	p r ɐ sʲ tʲ a t̪
просунется	p r ɐ s̪ u ɲ ɪ t̪ s̪ ə
просунулась	p r ɐ s̪ u n̪ ʊ ɫ ə sʲ
просыпаешься	p r ə s̪ ɨ p a j ɪ ʂ sʲ ə
просыпается	p r ə s̪ ɨ p a j ɪ t̪ s̪ ə
просыпали	p r ɐ s̪ ɨ p ə ʎ ɪ
просыпали	p r ə s̪ ɨ p a ʎ ɪ
просыпалась	p r ɐ s̪ ɨ p ə ɫ ə sʲ
просыпалась	p r ə s̪ ɨ p a ɫ ə sʲ
просыпались	p r ɐ s̪ ɨ p ə ʎ ɪ sʲ
просыпались	p r ə s̪ ɨ p a ʎ ɪ sʲ
просыпался	p r ɐ s̪ ɨ p ə ɫ sʲ ə
просыпался	p r ə s̪ ɨ p a ɫ sʲ ə
просыпаться	p r ɐ s̪ ɨ p ə t̪ s̪ ə
просыпаться	p r ə s̪ ɨ p a t̪ s̪ː ə
просыплю	p r ɐ s̪ ɨ p ʎ ʊ
просыпающегося	p r ə s̪ ɨ p a j ʉ ɕː ɪ v ə sʲ ə
просыпаются	p r ə s̪ ɨ p a j ʊ t̪ s̪ ə
просьб	p r o sʲ p
просыпу	p r ɐ s̪ ɨ p ʊ
просьбами	p r o zʲ b ə mʲ ɪ
просьба	p r o zʲ b ə
просьбой	p r o zʲ b ə j
просьбе	p r o zʲ bʲ e
прося	p r o sʲ ə
прося	p r ɐ sʲ a
просьбу	p r o zʲ b u
просьбу	p r o zʲ b ʊ
просят	p r o sʲ ə t̪
просятся	p r o sʲ ə t̪ s̪ ə
протанцуй	p r ə t̪ ɐ n̪ t̪s̪ u j
протанцевала	p r ə t̪ ə n̪ t̪s̪ ɨ v a ɫ ə
протекал	p r ə tʲ ɪ k a ɫ
протанцую	p r ə t̪ ɐ n̪ t̪s̪ u j ʊ
протекших	p r ə tʲ ɪ k ʂ ɨ x
протер	p r ə t̪ ɨ r
протерпела	p r ə tʲ ɪ r pʲ e ɫ ə
протереть	p r ə tʲ ɪ rʲ e tʲ
протертые	p r ə tʲ ɪ r t̪ ɨ j e
протертые	p r ə t̪ ɨ r t̪ ɨ j e
протестовал	p r ə tʲ ɪ s̪ t̪ ɐ v a ɫ
протеснился	p r ə tʲ ɪ sʲ ɲ i ɫ sʲ ə
протеснился	p r ə t̪ ɨ sʲ ɲ i ɫ sʲ ə
протеснился	p r ə t̪ ɨ sʲ ɲ ɪ ɫ sʲ ə
протестовать	p r ə tʲ ɪ s̪ t̪ ɐ v a tʲ
протестом	p r ɐ tʲ e s̪ t̪ ə m
протестом	p r ə tʲ ɪ s̪ t̪ ə m
протестует	p r ə tʲ ɪ s̪ t̪ u j ɪ t̪
протесты	p r ɐ tʲ e s̪ t̪ ɨ
протесты	p r ə tʲ ɪ s̪ t̪ ɨ
противен	p r ɐ tʲ i vʲ ɪ n̪
против	p r o tʲ ɪ f
противилось	p r ɐ tʲ i vʲ ɪ ɫ o sʲ
противилось	p r ɐ tʲ i vʲ ɪ ɫ ə sʲ
противилась	p r ɐ tʲ i vʲ ɪ ɫ ə sʲ
противиться	p r ɐ tʲ i vʲ ɪ t̪ s̪ ə
противная	p r ɐ tʲ i v n̪ ə j ə
противника	p r ɐ tʲ i v ɲ ɪ k ə
противником	p r ɐ tʲ i v ɲ ɪ k ə m
противник	p r ɐ tʲ i v ɲ ɪ k
противное	p r ɐ tʲ i v n̪ ə j ə
противной	p r ɐ tʲ i v n̪ ə j
противно	p r ɐ tʲ i v n̪ ə
противного	p r ɐ tʲ i v n̪ ə v ə
противодействия	p r ə tʲ ɪ v ɐ dʲ e j s̪ t̪ vʲ ɪ j ə
противном	p r ɐ tʲ i v n̪ ə m
противоестественных	p r ə tʲ ɪ v ə j ɪ sʲ tʲ e s̪ t̪ vʲ ɪ n̪ː ɨ x
противоположного	p r ə tʲ ɪ v ə p ɐ ɫ o ʐ n̪ ə v ə
противоположная	p r ə tʲ ɪ v ə p ɐ ɫ o ʐ n̪ ə j ə
противоположной	p r ə tʲ ɪ v ə p ɐ ɫ o ʐ n̪ o j
противоположном	p r ə tʲ ɪ v ə p ɐ ɫ o ʐ n̪ ə m
противоположность	p r ə tʲ ɪ v ə p ɐ ɫ o ʐ n̪ ə sʲ tʲ
противоположному	p r ə tʲ ɪ v ə p ɐ ɫ o ʐ n̪ ə m ʊ
противоположный	p r ə tʲ ɪ v ə p ɐ ɫ o ʐ n̪ ɨ j
противоположные	p r ə tʲ ɪ v ə p ɐ ɫ o ʐ n̪ ɨ j e
противоположных	p r ə tʲ ɪ v ə p ɐ ɫ o ʐ n̪ ɨ x
противоположную	p r ə tʲ ɪ v ə p ɐ ɫ o ʐ n̪ ʊ j ʊ
противоречивые	p r ə tʲ ɪ v ə rʲ ɪ tɕ i v ɨ j e
противоречие	p r ə tʲ ɪ v ɐ rʲ e tɕ ɪ j e
противопоставить	p r ə tʲ ɪ v ə p ɐ s̪ t̪ a vʲ ɪ tʲ
противоречии	p r ə tʲ ɪ v ɐ rʲ e tɕ ɪ ɪ
противоречий	p r ə tʲ ɪ v ɐ rʲ e tɕ ɪ j
противоречит	p r ə tʲ ɪ v ɐ rʲ e tɕ ɪ t̪
противоречит	p r ə tʲ ɪ v ə rʲ ɪ tɕ i t̪
противоречило	p r ə tʲ ɪ v ɐ rʲ e tɕ ɪ ɫ ə
противоречило	p r ə tʲ ɪ v ə rʲ ɪ tɕ i ɫ ə
противоречия	p r ə tʲ ɪ v ɐ rʲ e tɕ ɪ j ə
противоречить	p r ə tʲ ɪ v ɐ rʲ e tɕ ɪ tʲ
противоречить	p r ə tʲ ɪ v ə rʲ ɪ tɕ i tʲ
протирал	p r ə tʲ ɪ r a ɫ
противоречь	p r ə tʲ ɪ v ɐ rʲ e tɕ
противуположную	p r o tʲ ɪ v ʊ p o ɫ o ʐ n̪ ʊ j ʊ
противуположную	p r o tʲ ɪ v ʊ p ɐ ɫ o ʐ n̪ ʊ j ʊ
противуположную	p r ɐ tʲ i v ʊ p ɐ ɫ o ʐ n̪ ʊ j ʊ
противуположную	p r ə tʲ ɪ v ʊ p o ɫ o ʐ n̪ ʊ j ʊ
противуположную	p r ə tʲ ɪ v ʊ p ɐ ɫ o ʐ n̪ ʊ j ʊ
протиснулся	p r ɐ tʲ i s̪ n̪ ʊ ɫ sʲ ə
протиснуться	p r ɐ tʲ i s̪ n̪ ʊ t̪ s̪ ə
протирать	p r ə tʲ ɪ r a tʲ
проткнет	p r ɐ t̪ c ɲ ɪ t̪
протоколах	p r ə t̪ ɐ k o ɫ ə x
протокол	p r ə t̪ ɐ k o ɫ
протоколистом	p r ə t̪ ə k ɐ ʎ i s̪ t̪ ə m
протоколист	p r ə t̪ ə k ɐ ʎ i s̪ t̪
протоколисту	p r ə t̪ ə k ɐ ʎ i s̪ t̪ ʊ
протоколов	p r ə t̪ ɐ k o ɫ ə f
протоколы	p r ə t̪ ɐ k o ɫ ɨ
протолкалась	p r ə t̪ ɐ ɫ k a ɫ ə sʲ
протопленной	p r ɐ t̪ o p ʎ ɪ n̪ː o j
проторила	p r ə t̪ ɐ rʲ i ɫ ə
протолкуешь	p r ə t̪ ɐ ɫ k u j ɪ ʂ
протрубите	p r ɐ t̪ r u bʲ ɪ tʲ e
протрубите	p r ɐ t̪ r ʊ bʲ i tʲ e
протрезвятся	p r ə t̪ rʲ ɪ z̪ vʲ a t̪ s̪ː ə
протрезвятся	p r ə t̪ rʲ ɪ z̪ vʲ e j ə t̪ s̪ ə
протрезвившись	p r ə t̪ rʲ ɪ z̪ vʲ i f ʂ ɨ sʲ
протягивает	p r ɐ tʲ æ ɟ ɪ v ə j ɪ t̪
протягивайте	p r ɐ tʲ æ ɟ ɪ v ə j tʲ e
протягивалась	p r ɐ tʲ æ ɟ ɪ v ə ɫ ə sʲ
протяжно	p r ɐ tʲ a ʐ n̪ ə
протягивая	p r ɐ tʲ æ ɟ ɪ v ə j ə
протягиваю	p r ɐ tʲ æ ɟ ɪ v ə j ʊ
протяжные	p r ɐ tʲ a ʐ n̪ ɨ j e
протянем	p r ɐ tʲ æ ɲ ɪ m
протяжный	p r ɐ tʲ a ʐ n̪ ɨ j
протянет	p r ɐ tʲ æ ɲ ɪ t̪
протяните	p r ə tʲ ɪ ɲ i tʲ e
протяни	p r ə tʲ ɪ ɲ i
протяни	p r ə tʲ ɪ ɲ ɪ
протянул	p r ə tʲ ɪ n̪ u ɫ
протянула	p r ə tʲ ɪ n̪ u ɫ ə
протянули	p r ə tʲ ɪ n̪ u ʎ ɪ
протяну	p r ə tʲ ɪ n̪ u
протянулись	p r ə tʲ ɪ n̪ u ʎ ɪ sʲ
протянутая	p r ɐ tʲ a n̪ ʊ t̪ a j ə
протянутая	p r ə tʲ ɪ n̪ u t̪ ə j ə
протянутой	p r ɐ tʲ a n̪ ʊ t̪ ə j
протянутой	p r ə tʲ ɪ n̪ u t̪ ə j
протянуть	p r ə tʲ ɪ n̪ u tʲ
проучить	p r ɐ u tɕ ɪ tʲ
проучить	p r ə ʊ tɕ i tʲ
проучу	p r ə ʊ tɕ u
профессии	p r ɐ fʲ e sʲː ɪ ɪ
профессиональная	p r ə fʲ ɪ sʲː ɪ ɐ n̪ a ʎ n̪ ə j ə
профессор	p r ɐ fʲ e s̪ː ə r
профессия	p r ɐ fʲ e sʲː ɪ j ə
профессора	p r ɐ fʲ e s̪ː ə r ə
профессора	p r ə fʲ ɪ s̪ː ɐ r a
профилем	p r o fʲ ɪ ʎ ɪ m
профили	p r o fʲ ɪ ʎ ɪ
профессоров	p r ɐ fʲ e s̪ː ə r ə f
профессоров	p r ə fʲ ɪ s̪ː ɐ r o f
профиля	p r o fʲ ɪ ʎ ə
профсоюзный	p r ə f s̪ ɐ j u z̪ n̪ ɨ j
профсоюзных	p r ə f s̪ ɐ j u z̪ n̪ ɨ x
прохаживался	p r ɐ x a ʐ ɨ v ə ɫ sʲ ə
прохаживаться	p r ɐ x a ʐ ɨ v ə t̪ s̪ ə
профсоюзом	p r ə f s̪ ɐ j u z̪ ə m
прохватывала	p r ɐ x v a t̪ ɨ v ə ɫ ə
прохладно	p r ɐ x ɫ a d̪ n̪ ə
прохлада	p r ɐ x ɫ a d̪ ə
прохладны	p r ɐ x ɫ a d̪ n̪ ɨ
прохладе	p r ɐ x ɫ a dʲ e
прохладные	p r ɐ x ɫ a d̪ n̪ ɨ j e
прохладный	p r ɐ x ɫ a d̪ n̪ ɨ j
прохладой	p r ɐ x ɫ a d̪ ə j
прохладою	p r ɐ x ɫ a d̪ ə j ʊ
прохладу	p r ɐ x ɫ a d̪ ʊ
прохлады	p r ɐ x ɫ a d̪ ɨ
проход	p r ɐ x o t̪
проходам	p r ɐ x o d̪ ə m
прохода	p r ɐ x o d̪ ə
проходе	p r ɐ x o dʲ e
проходах	p r ɐ x o d̪ ə x
проходившего	p r ə x ɐ dʲ i f ʂ ɨ v ə
проходил	p r ə x ɐ dʲ i ɫ
проходившей	p r ə x ɐ dʲ i f ʂ ɨ j
проходившему	p r ə x ɐ dʲ i f ʂ ɨ m ʊ
проходили	p r ə x ɐ dʲ i ʎ ɪ
проходимец	p r ə x ɐ dʲ i mʲ ɪ t̪s̪
проходила	p r ə x ɐ dʲ i ɫ ə
проходило	p r ə x ɐ dʲ i ɫ ə
проходит	p r ɐ x o dʲ ɪ t̪
проходите	p r ə x ɐ dʲ i tʲ e
проходу	p r ɐ x o d̪ ʊ
проходишь	p r ɐ x o dʲ ɪ ʂ
проходишь	p r ə x ɐ dʲ i ʂ
проходить	p r ə x ɐ dʲ i tʲ
проходя	p r ə x ɐ dʲ a
проходящим	p r ə x ɐ dʲ æ ɕː ɪ m
проходят	p r ɐ x o dʲ ə t̪
прохожем	p r ɐ x o ʐ ɨ m
прохожего	p r ɐ x o ʐ ɨ v ə
прохожему	p r ɐ x o ʐ ɨ m ʊ
проходящих	p r ə x ɐ dʲ æ ɕː ɪ x
прохожий	p r ɐ x o ʐ ɨ j
прохожие	p r ɐ x o ʐ ɨ j e
прохожим	p r ɐ x o ʐ ɨ m
прохора	p r ɐ x o r ə
прохора	p r ə x ɐ r a
прохожих	p r ɐ x o ʐ ɨ x
прохрипел	p r ə x rʲ ɪ pʲ e ɫ
процветала	p r ə t̪s̪ vʲ ɪ t̪ a ɫ ə
процветал	p r ə t̪s̪ vʲ ɪ t̪ a ɫ
процент	p r ɐ t̪s̪ ɛ n̪ t̪
процента	p r ɐ t̪s̪ ɛ n̪ t̪ ə
процентами	p r ɐ t̪s̪ ɛ n̪ t̪ ə mʲ ɪ
процесс	p r ɐ t̪s̪ ɛ s̪
процентов	p r ɐ t̪s̪ ɛ n̪ t̪ ə f
проценты	p r ɐ t̪s̪ ɛ n̪ t̪ ɨ
процессии	p r ɐ t̪s̪ ɛ sʲː ɪ ɪ
процессий	p r ɐ t̪s̪ ɛ sʲː ɪ j
процессию	p r ɐ t̪s̪ ɛ sʲː ɪ j ʊ
процессия	p r ɐ t̪s̪ ɛ sʲː ɪ j ə
процессу	p r ɐ t̪s̪ ɛ s̪ː ʊ
процессы	p r ɐ t̪s̪ ɛ s̪ː ɨ
проч	p r o tɕ
проч	p r o tɕ ɪ j e
проч	p r ɐ tɕ
проч	p r ə tɕ
проча	p r o tɕ ə
прочее	p r o tɕ ɪ j e
прочего	p r o tɕ ɪ v ə
прочая	p r o tɕ ɪ j ə
прочая	p r ɐ tɕ æ j ə
прочей	p r ɐ tɕ e j
прочел	p r ɐ tɕ e ɫ
прочесть	p r ɐ tɕ e sʲ tʲ
прочие	p r o tɕ ɪ j e
прочим	p r o tɕ ɪ m
прочими	p r o tɕ ɪ mʲ ɪ
прочитает	p r ə tɕ ɪ t̪ a j ɪ t̪
прочитав	p r ə tɕ ɪ t̪ a f
прочитал	p r ə tɕ ɪ t̪ a ɫ
прочитай	p r ə tɕ ɪ t̪ a j
прочитайте	p r ə tɕ ɪ t̪ a j tʲ e
прочитала	p r ə tɕ ɪ t̪ a ɫ ə
прочитали	p r ə tɕ ɪ t̪ a ʎ ɪ
прочитанное	p r ɐ tɕ i t̪ ə n̪ː ə j ə
прочитанное	p r ə tɕ ɪ t̪ a n̪ː ə j ə
прочитанного	p r ɐ tɕ i t̪ ə n̪ː ə v ə
прочитанного	p r ə tɕ ɪ t̪ a n̪ː ə v ə
прочитать	p r ə tɕ ɪ t̪ a tʲ
прочитывал	p r ɐ tɕ i t̪ ɨ v ə ɫ
прочих	p r o tɕ ɪ x
прочла	p r ɐ tɕ ɫ a
